date,real_gdp,inflation,industrial_production,central_bank_rate,exports,imports
2016-04-01,47129611.2,6.193548000000001,1.2603596621460234,7.0,7070427.6,7420652.8
2016-07-01,48252868.9,5.296343,-0.38069754955269336,7.0,7231853.5,7817722.6
2016-10-01,48950108.8,2.722772,-0.23671168650817673,6.75,7457000.8,8275336.1
2017-01-01,51304241.8,2.363184,0.8070191348561769,6.75,7822486.7,7920122.0
2017-04-01,50010528.1,1.4580799999999998,-0.27385393672131936,6.5,7609346.7,8906473.2
2017-07-01,50818927.3,2.39521,1.2398113771617734,6.25,7872678.6,8565169.9
2017-10-01,52214433.8,3.73494,0.7456910741439033,6.25,8198111.9,9467753.6
2018-01-01,55887203.2,4.73876,0.14139405259052432,6.25,8537496.1,9675167.1
2018-04-01,53761148.0,3.952096,0.3495473709203583,6.45,8731497.9,10317789.5
2018-07-01,54100397.5,5.614035,0.5420836347966994,6.75,9275940.0,11118811.2
2018-10-01,55469209.1,5.110337,-0.2118583382635193,6.75,9862873.9,11597146.6
2019-01-01,59084478.1,7.076566000000001,0.3280594660095137,6.5,9912744.9,10664619.8
2019-04-01,56500476.5,8.525346,-0.15700926416398564,6.0,9336330.5,10905877.2
2019-07-01,56425833.4,6.423034,-1.4420865186371568,5.65,9302448.9,10349681.5
2019-10-01,57275088.5,8.618785,1.4125946527811373,5.4,9668436.6,10406728.6
2020-01-01,60824464.6,6.608884,-5.915093663607791,5.21,9334333.7,10016319.1
2020-04-01,43429583.4,5.201698,11.3917367776921,4.25,7523058.4,6567485.6
2020-07-01,53131006.2,5.530673,5.34996118443555,4.25,9325308.1,8578840.1
2020-10-01,58291768.5,4.952394,1.5022777169182806,4.25,9628457.5,10135620.3
2021-01-01,62825463.5,4.435952,0.06916039315018033,4.25,10733846.7,11683051.9
2021-04-01,53259336.6,5.325812,-2.128589422548117,4.25,11266442.1,11336229.9
2021-07-01,58372835.7,4.824363,2.589857930036413,4.25,12238339.2,13292499.9
2021-10-01,61514764.0,4.969291,0.27949758804260466,4.25,13103130.5,15095696.4
2022-01-01,65622984.3,5.409193,0.6062271726652894,4.25,14049587.2,15606750.4
2022-04-01,61628460.0,6.484548,0.5964105304703293,5.03,15351790.0,17075510.0
2022-07-01,60451230.0,6.041723,-0.26607638412375767,5.75,15307500.0,18049770.0
2022-10-01,68282760.0,5.664894,0.9639330101175035,6.43,15538720.0,17494360.0
2023-01-01,71407560.0,6.035629,-0.3537745764904657,6.75,16589210.0,17004120.0
2023-04-01,65685270.0,5.027209,1.130339584526684,6.75,15248390.0,16430480.0
2023-07-01,65007030.0,6.387328,1.1394533681079706,6.75,15838460.0,17356920.0
2023-10-01,73527030.0,4.78228,-0.8935397114715834,6.75,16188790.0,17920510.0
